File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,iter,bit,DI
37211,daxpby,40,y,2.9802322387695312e-08,2.9727505287670135e-08,3.477474097e-07,Masked,4,28,581
4331,readB,175,b,0.25,0.0012337033950036986,4.52709397871e-05,Masked,0,44,67
49076,matvec,25,Ap,-0.1493724159602714,0.5,3.477474097e-07,Masked,6,53,766
22513,dot,57,sum,-16384.0,0.10973764031918651,0.0030125196237728,Masked,2,50,351
33741,matvec,25,Ap,-1.4551915228366852e-11,-1.7302926359898687e-12,3.477474045e-07,Masked,4,14,527
20205,matvec,25,Ap,4.0,-0.006707980397169115,0.0374825514036393,Masked,2,46,315
47567,matvec,25,Ap,9.094947017729282e-13,5.752392826578166e-12,3.477474097e-07,Masked,6,16,743
3020,readA,167,A,-1.8189894035458565e-12,5.309158581158817e-13,3.477474127e-07,Masked,0,13,47
36907,daxpby,40,y,0.00390625,0.0019530883211198976,3.477474097e-07,Masked,4,44,576
17052,dot_r2,48,sum,0.0001220703125,4.8428560851784413e-08,3.482067118e-07,Masked,2,29,266
38783,daxpby,40,y,0.2874175897657374,-2.0,0.2486595793945342,SDC,5,64,605
6588,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,61,102
4569,readB,175,b,9.5367431640625e-07,5.149996632492186e-09,3.478725432e-07,Masked,0,26,71
43274,dot,57,sum,1.1368683772161605e-13,1.4344317669646482e-13,3.477474094e-07,Masked,5,11,676
35326,matvec,25,Ap,12.671173768533544,-1.0,0.0152757592114288,Masked,4,63,551
5745,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,50,89
28472,matvec,25,Ap,2920185.766636676,65535.0,26.957257537210822,SDC,3,57,444
26002,matvec,25,Ap,-7.450580596923828e-09,3.62236384274485e-11,3.477465484e-07,Masked,3,19,406
46417,matvec,25,Ap,-3.6380065626673286e-12,-2.4702049873242342e-11,3.477474097e-07,Masked,6,18,725
22563,dot,57,sum,1.0,4.586059358687926e-06,1.0220146149e-06,Masked,2,36,352
45949,daxpby,40,y,-0.0043063097559194,1.0,3.477474097e-07,Masked,6,62,717
35295,matvec,25,Ap,-3.814697265625e-06,-3.0105318854501677e-07,3.443325491e-07,Masked,4,32,551
43739,solve_cg,90,p_ap_dot,-1.1920928955078125e-07,1.8658525397303784e-08,3.480119021e-07,Masked,5,28,683
32692,matvec,25,Ap,13.228089663888026,-0.5,0.0101277339936986,Masked,4,53,510
35707,matvec,25,Ap,-0.3105781075749487,1.0,8.7290790615e-06,Masked,4,60,557
20247,matvec,25,Ap,-4.76837158203125e-07,-9.628917253842497e-10,3.477519724e-07,Masked,2,24,316
15771,daxpby,40,y,2.9802322387695312e-08,1.716315002127248e-08,3.477474097e-07,Masked,1,28,246
45622,daxpby,40,y,0.0024985551058958,-0.9374999999999836,3.477474097e-07,Masked,6,55,712
31084,dot_r2,48,sum,0.001953125,0.002486885994070963,5.5663443009e-06,Masked,4,45,485
33391,matvec,25,Ap,0.5,-0.017989382268030957,0.0006899685891572,Masked,4,48,521
38078,dot_r2,48,sum,5.793664548459321e+306,1.7976931348623151e+308,3.477474097e-07,Masked,5,63,594
43710,dot,57,sum,-6.388998434356843,1.0,,DUE,5,63,682
31401,solve_cg,83,rtrans,0.001953125,0.0002974267064943299,5.5663443009e-06,Masked,4,42,490
17810,daxpby,40,y,-4.656612873077394e-10,-5.7666326815386954e-11,3.477481722e-07,Masked,2,19,278
6619,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,28,103
17966,solve_cg,87,normr,-0.5,0.00812104687651402,3.477474097e-07,Masked,2,47,280
13718,matvec,25,Ap,-7.62939453125e-06,6.90189758350004e-10,3.477663701e-07,Masked,1,23,214
28183,matvec,25,Ap,1.4901161193847656e-08,1.7271170986673961e-09,3.477483144e-07,Masked,3,24,440
33536,matvec,25,Ap,7.105427357601002e-15,-2.1784259847106567e-16,3.477474097e-07,Masked,4,1,524
45482,solve_cg,83,rtrans,-1.1920928960000406e-07,0.000593256706510101,3.8576864657e-06,Masked,6,43,710
46458,matvec,25,Ap,0.147275492573921,-1.0,3.477474097e-07,Masked,6,59,725
