function,line,var,sdc
readA,167,A,5.707695296546801
readA,167,A,15.005024831446454
readA,167,A,14.67942823271728
readA,167,A,15.463520343931597
readA,167,A,15.154166860139386
readA,167,A,15.415736841640411
readA,167,A,15.455032827700931
readA,167,A,15.233782464117484
readA,167,A,15.446492298391963
readA,167,A,4.815286091092907
readA,167,A,15.543018813991834
readA,167,A,15.398703236737314
readA,167,A,14.93344318801462
readA,167,A,15.581005486004695
readA,167,A,14.552707424801426
readA,167,A,15.135795241869314
readA,167,A,14.458568843717304
readA,167,A,15.61900628779739
readA,167,A,5.52627734195407
readA,167,A,15.599942648296379
readA,167,A,14.625559242746249
readA,167,A,12.672432125043054
readA,167,A,15.575511463682393
readA,167,A,15.586081517662771
readA,167,A,14.76779882599416
readA,167,A,14.946680598855437
readA,167,A,14.915728079603637
readA,167,A,5.260151383546954
readA,167,A,14.026976526941489
readA,167,A,14.792523994246398
readA,167,A,7.028187772859445
readA,167,A,15.366465171901018
readA,167,A,14.814527376965172
readA,167,A,12.336936314236384
readA,167,A,15.40990550456582
readA,167,A,15.45188665054042
readA,167,A,5.726815277167846
readA,167,A,14.051035782880819
readA,167,A,15.523326407706897
readA,167,A,14.880396656518837
readA,167,A,14.468838623097794
readA,167,A,14.130782146500541
readA,167,A,15.490595881018073
readA,167,A,15.001154343299334
readA,167,A,15.135724797402581
readA,167,A,5.4602229667533075
readA,167,A,14.839286330535748
readA,167,A,13.98420534364534
readA,167,A,14.988203443343806
readA,167,A,15.728136839784554
readA,167,A,14.907078035298658
readA,167,A,7.028187772856942
readA,167,A,14.934712130234042
readA,167,A,15.863977290993066
readA,167,A,5.444278013735343
readA,167,A,15.033604508755046
readA,167,A,14.459359535877745
readA,167,A,13.234451050971717
readA,167,A,8.257678706319247
readA,167,A,14.006351895168082
readA,167,A,14.238625071927226
readA,167,A,14.255172147347457
readA,167,A,14.012866142512609
readA,167,A,5.71298658242083
readB,175,b,5.145117381038475
readB,175,b,5.335932598720595
readB,175,b,4.903357109721975
readB,175,b,5.211159298132468
readB,175,b,4.559997377653975
readB,175,b,5.567385655543944
readB,175,b,4.575659804431221
readB,175,b,5.215867288588231
waxpby,33,r,-3.894158882781289
waxpby,33,r,-3.7199497738401583
waxpby,33,r,-4.1297713541894305
waxpby,33,r,-3.966560742345897
waxpby,33,r,-3.805039839037705
waxpby,33,r,-4.044894401150752
waxpby,33,r,-4.113308299546755
waxpby,33,r,-4.4276801366401335
matvec,25,Ap,-5.936813848818928
matvec,25,Ap,-5.936813848818928
matvec,25,Ap,-5.936813848818928
matvec,25,Ap,-5.936813848818928
matvec,25,Ap,-5.936813848818928
matvec,25,Ap,-5.936813848818928
matvec,25,Ap,-5.936813848818928
matvec,25,Ap,-5.936813848818928
matvec,25,Ap,-6.178565097401894
matvec,25,Ap,-6.178565097401894
matvec,25,Ap,-6.178565097401894
matvec,25,Ap,-6.178565097401894
matvec,25,Ap,-6.178565097401894
matvec,25,Ap,-6.178565097401894
matvec,25,Ap,-6.178565097401894
matvec,25,Ap,-6.178565097401894
matvec,25,Ap,-5.555858234602296
matvec,25,Ap,-5.555858234602296
matvec,25,Ap,-5.555858234602296
matvec,25,Ap,-5.555858234602296
matvec,25,Ap,-5.555858234602296
matvec,25,Ap,-5.555858234602296
matvec,25,Ap,-5.555858234602296
matvec,25,Ap,-5.555858234602296
matvec,25,Ap,-5.547237858598063
matvec,25,Ap,-5.547237858598063
matvec,25,Ap,-5.547237858598063
matvec,25,Ap,-5.547237858598063
matvec,25,Ap,-5.547237858598063
matvec,25,Ap,-5.547237858598063
matvec,25,Ap,-5.547237858598063
matvec,25,Ap,-5.547237858598063
matvec,25,Ap,-5.44047958980222
matvec,25,Ap,-5.44047958980222
matvec,25,Ap,-5.44047958980222
matvec,25,Ap,-5.44047958980222
matvec,25,Ap,-5.44047958980222
matvec,25,Ap,-5.44047958980222
matvec,25,Ap,-5.44047958980222
matvec,25,Ap,-5.44047958980222
matvec,25,Ap,-5.529986676715759
matvec,25,Ap,-5.529986676715759
matvec,25,Ap,-5.529986676715759
matvec,25,Ap,-5.529986676715759
matvec,25,Ap,-5.529986676715759
matvec,25,Ap,-5.529986676715759
matvec,25,Ap,-5.529986676715759
matvec,25,Ap,-5.529986676715759
matvec,25,Ap,-5.4828915468548916
matvec,25,Ap,-5.4828915468548916
matvec,25,Ap,-5.4828915468548916
matvec,25,Ap,-5.4828915468548916
matvec,25,Ap,-5.4828915468548916
matvec,25,Ap,-5.4828915468548916
matvec,25,Ap,-5.4828915468548916
matvec,25,Ap,-5.4828915468548916
matvec,25,Ap,-5.692584648360655
matvec,25,Ap,-5.692584648360655
matvec,25,Ap,-5.692584648360655
matvec,25,Ap,-5.692584648360655
matvec,25,Ap,-5.692584648360655
matvec,25,Ap,-5.692584648360655
matvec,25,Ap,-5.692584648360655
matvec,25,Ap,-5.692584648360655
waxpby,33,r,5.145117381038475
waxpby,33,r,5.335932598720595
waxpby,33,r,4.903357109721975
waxpby,33,r,5.211159298132468
waxpby,33,r,4.559997377653975
waxpby,33,r,5.567385655543944
waxpby,33,r,4.575659804431221
waxpby,33,r,5.215867288588231
dot_r2,48,sum,3.042925126853859
dot_r2,48,sum,2.8113054593245703
dot_r2,48,sum,2.0522863866250005
dot_r2,48,sum,1.9598251232607193
dot_r2,48,sum,2.0172506147085962
dot_r2,48,sum,2.0700444570844523
dot_r2,48,sum,2.1108104779187085
dot_r2,48,sum,2.0120702274536963
solve_cg,75,rtrans,2.0120702274536963
solve_cg,76,normr,4.705175517896953
waxpby,33,r,5.138278031529541
waxpby,33,r,5.329093139199336
waxpby,33,r,4.896517854930064
waxpby,33,r,5.204319821069517
waxpby,33,r,4.553158299970799
waxpby,33,r,5.560546234358553
waxpby,33,r,4.568820653394331
waxpby,33,r,5.209027855816435
solve_cg,87,normr,4.705175517896953
matvec,25,Ap,3.6926588466490404
matvec,25,Ap,3.3262462064786322
matvec,25,Ap,3.461027813853794
matvec,25,Ap,3.190660070845681
matvec,25,Ap,2.963162699067402
matvec,25,Ap,2.946209767150648
matvec,25,Ap,3.3129176350824348
matvec,25,Ap,3.4323412512907217
matvec,25,Ap,3.33316152380294
matvec,25,Ap,3.240277424746058
matvec,25,Ap,3.3974403904912833
matvec,25,Ap,2.7353441720568403
matvec,25,Ap,1.6664658869033147
matvec,25,Ap,2.987169262347092
matvec,25,Ap,3.188458275796423
matvec,25,Ap,2.4793782582233175
matvec,25,Ap,4.186078853741459
matvec,25,Ap,4.0607623421434464
matvec,25,Ap,3.4161571142427336
matvec,25,Ap,2.676295566355411
matvec,25,Ap,3.3991015717210624
matvec,25,Ap,2.40749312268248
matvec,25,Ap,3.4570859975387465
matvec,25,Ap,2.7477117725030564
matvec,25,Ap,4.30757475044692
matvec,25,Ap,4.207992287980799
matvec,25,Ap,3.8974511296273313
matvec,25,Ap,2.6606986343954047
matvec,25,Ap,2.094326267876471
matvec,25,Ap,3.4247405861216578
matvec,25,Ap,2.5818277092726674
matvec,25,Ap,3.453979872823008
matvec,25,Ap,4.3438438340737235
matvec,25,Ap,3.7235465278529936
matvec,25,Ap,2.7188949748096305
matvec,25,Ap,3.6366712034702773
matvec,25,Ap,3.4374127755152615
matvec,25,Ap,3.2586265611334455
matvec,25,Ap,3.4710551548386257
matvec,25,Ap,3.321182091180259
matvec,25,Ap,3.769953531213353
matvec,25,Ap,3.7136273847423196
matvec,25,Ap,3.4778992706469958
matvec,25,Ap,3.727833454790343
matvec,25,Ap,3.6578188761413535
matvec,25,Ap,2.9676115952403075
matvec,25,Ap,2.465810540120382
matvec,25,Ap,2.845817216058953
matvec,25,Ap,4.700154398637882
matvec,25,Ap,4.148127500931129
matvec,25,Ap,2.169520975252732
matvec,25,Ap,2.5101283328838067
matvec,25,Ap,3.1147983116526796
matvec,25,Ap,3.5051377230973277
matvec,25,Ap,3.2508693824053383
matvec,25,Ap,2.6555765729854786
matvec,25,Ap,3.7263724801545663
matvec,25,Ap,4.250702425002473
matvec,25,Ap,3.9053801048639745
matvec,25,Ap,3.9117456869895566
matvec,25,Ap,3.841263184255629
matvec,25,Ap,2.5218280423898527
matvec,25,Ap,3.9578218747747234
matvec,25,Ap,3.4304638976770483
dot,57,sum,0.7583491447140609
dot,57,sum,-0.07274077037700305
dot,57,sum,0.4438963171887994
