function,line,var,sdc
readA,167,A,0.078125
readA,167,A,0.078125
readA,167,A,0.109375
readA,167,A,0.125
readA,167,A,0.09375
readA,167,A,0.109375
readA,167,A,0.09375
readA,167,A,0.125
readA,167,A,0.125
readA,167,A,0.078125
readA,167,A,0.15625
readA,167,A,0.09375
readA,167,A,0.109375
readA,167,A,0.109375
readA,167,A,0.109375
readA,167,A,0.125
readA,167,A,0.109375
readA,167,A,0.09375
readA,167,A,0.078125
readA,167,A,0.09375
readA,167,A,0.140625
readA,167,A,0.09375
readA,167,A,0.09375
readA,167,A,0.125
readA,167,A,0.125
readA,167,A,0.09375
readA,167,A,0.109375
readA,167,A,0.078125
readA,167,A,0.09375
readA,167,A,0.109375
readA,167,A,0.0
readA,167,A,0.109375
readA,167,A,0.125
readA,167,A,0.078125
readA,167,A,0.109375
readA,167,A,0.109375
readA,167,A,0.0625
readA,167,A,0.09375
readA,167,A,0.109375
readA,167,A,0.09375
readA,167,A,0.109375
readA,167,A,0.09375
readA,167,A,0.125
readA,167,A,0.109375
readA,167,A,0.078125
readA,167,A,0.078125
readA,167,A,0.09375
readA,167,A,0.09375
readA,167,A,0.125
readA,167,A,0.109375
readA,167,A,0.109375
readA,167,A,0.0
readA,167,A,0.125
readA,167,A,0.09375
readA,167,A,0.078125
readA,167,A,0.109375
readA,167,A,0.0625
readA,167,A,0.0625
readA,167,A,0.109375
readA,167,A,0.046875
readA,167,A,0.09375
readA,167,A,0.09375
readA,167,A,0.046875
readA,167,A,0.078125
readB,175,b,0.078125
readB,175,b,0.078125
readB,175,b,0.078125
readB,175,b,0.078125
readB,175,b,0.078125
readB,175,b,0.078125
readB,175,b,0.078125
readB,175,b,0.0625
waxpby,33,r,0.0
waxpby,33,r,0.0
waxpby,33,r,0.0
waxpby,33,r,0.0
waxpby,33,r,0.0
waxpby,33,r,0.0
waxpby,33,r,0.0
waxpby,33,r,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
matvec,25,Ap,0.0
waxpby,33,r,0.078125
waxpby,33,r,0.078125
waxpby,33,r,0.078125
waxpby,33,r,0.078125
waxpby,33,r,0.078125
waxpby,33,r,0.078125
waxpby,33,r,0.078125
waxpby,33,r,0.0625
dot_r2,48,sum,0.171875
dot_r2,48,sum,0.171875
dot_r2,48,sum,0.1875
dot_r2,48,sum,0.1875
dot_r2,48,sum,0.171875
dot_r2,48,sum,0.1875
dot_r2,48,sum,0.1875
dot_r2,48,sum,0.1875
solve_cg,75,rtrans,0.1875
solve_cg,76,normr,0.015625
waxpby,33,r,0.171875
waxpby,33,r,0.1875
waxpby,33,r,0.171875
waxpby,33,r,0.15625
waxpby,33,r,0.1875
waxpby,33,r,0.1875
waxpby,33,r,0.140625
waxpby,33,r,0.171875
solve_cg,87,normr,0.015625
matvec,25,Ap,0.1875
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.109375
matvec,25,Ap,0.171875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.125
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.125
matvec,25,Ap,0.125
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.109375
matvec,25,Ap,0.125
matvec,25,Ap,0.125
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.125
matvec,25,Ap,0.125
matvec,25,Ap,0.125
matvec,25,Ap,0.140625
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.125
matvec,25,Ap,0.125
matvec,25,Ap,0.125
matvec,25,Ap,0.125
matvec,25,Ap,0.15625
matvec,25,Ap,0.1875
dot,57,sum,0.171875
dot,57,sum,0.203125
dot,57,sum,0.21875
dot,57,sum,0.203125
dot,57,sum,0.21875
dot,57,sum,0.234375
dot,57,sum,0.234375
dot,57,sum,0.203125
solve_cg,90,p_ap_dot,0.203125
solve_cg,91,alpha,0.21875
daxpby,40,y,0.0
daxpby,40,y,0.0
daxpby,40,y,0.0
daxpby,40,y,0.0
daxpby,40,y,0.0
daxpby,40,y,0.0
daxpby,40,y,0.0
daxpby,40,y,0.0
daxpby,40,y,0.109375
daxpby,40,y,0.109375
daxpby,40,y,0.109375
daxpby,40,y,0.109375
daxpby,40,y,0.109375
daxpby,40,y,0.109375
daxpby,40,y,0.109375
daxpby,40,y,0.109375
solve_cg,82,oldrtrans,0.015625
dot_r2,48,sum,0.125
dot_r2,48,sum,0.125
dot_r2,48,sum,0.15625
dot_r2,48,sum,0.15625
dot_r2,48,sum,0.171875
dot_r2,48,sum,0.171875
dot_r2,48,sum,0.171875
dot_r2,48,sum,0.15625
solve_cg,83,rtrans,0.15625
solve_cg,84,beta,0.03125
daxpby,40,y,0.1875
daxpby,40,y,0.15625
daxpby,40,y,0.203125
daxpby,40,y,0.1875
daxpby,40,y,0.171875
daxpby,40,y,0.15625
daxpby,40,y,0.140625
daxpby,40,y,0.203125
solve_cg,87,normr,0.015625
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.171875
matvec,25,Ap,0.109375
matvec,25,Ap,0.125
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.1875
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.125
matvec,25,Ap,0.109375
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.171875
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.140625
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.125
matvec,25,Ap,0.109375
matvec,25,Ap,0.140625
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.140625
matvec,25,Ap,0.109375
matvec,25,Ap,0.1875
matvec,25,Ap,0.140625
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.109375
matvec,25,Ap,0.171875
dot,57,sum,0.109375
dot,57,sum,0.109375
dot,57,sum,0.171875
dot,57,sum,0.203125
dot,57,sum,0.1875
dot,57,sum,0.1875
dot,57,sum,0.1875
dot,57,sum,0.1875
solve_cg,90,p_ap_dot,0.1875
solve_cg,91,alpha,0.203125
daxpby,40,y,0.0
daxpby,40,y,0.0
daxpby,40,y,0.0
daxpby,40,y,0.0
daxpby,40,y,0.0
daxpby,40,y,0.0
daxpby,40,y,0.0
daxpby,40,y,0.0
daxpby,40,y,0.125
daxpby,40,y,0.109375
daxpby,40,y,0.125
daxpby,40,y,0.109375
daxpby,40,y,0.109375
daxpby,40,y,0.0
daxpby,40,y,0.125
daxpby,40,y,0.0
solve_cg,82,oldrtrans,0.046875
dot_r2,48,sum,0.140625
dot_r2,48,sum,0.140625
dot_r2,48,sum,0.15625
dot_r2,48,sum,0.15625
dot_r2,48,sum,0.171875
dot_r2,48,sum,0.171875
dot_r2,48,sum,0.171875
dot_r2,48,sum,0.15625
solve_cg,83,rtrans,0.15625
solve_cg,84,beta,0.046875
daxpby,40,y,0.1875
daxpby,40,y,0.1875
daxpby,40,y,0.1875
daxpby,40,y,0.0
daxpby,40,y,0.203125
