File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,iter,bit,DI
3839,readA,167,A,-9.442056,2.0,0.0274561873988957,Masked,0,64,59
11128,matvec,25,Ap,1226652300.985199,65535.0,1669.5264401752704,SDC,1,57,173
26486,matvec,25,Ap,260.9485335799766,-0.9375,0.1842137936875795,SDC,3,55,413
49854,matvec,25,Ap,8.807957083756488e+306,1.7976931348623153e+308,3.477474097e-07,Masked,6,63,778
8500,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,53,132
31804,daxpby,40,y,-1.2102609984248374,1.0,0.312162922936674,SDC,4,61,496
27449,matvec,25,Ap,1398318991556.9275,4294967295.0,8.59794933052288,SDC,3,58,428
50172,matvec,25,Ap,-0.0415403707667671,1.0,3.477474097e-07,Masked,6,61,783
43453,dot,57,sum,4.10294493794868e+154,1.3407807929942597e+154,0.0684187606524825,SDC,5,62,678
1721,readA,167,A,41283977258.81663,4294967295.0,1.957442968069416e+27,SDC,0,58,26
33275,matvec,25,Ap,-1.7744601594969158e+40,-3.402823669209385e+38,7.890839485740032,SDC,4,60,519
39354,matvec,25,Ap,-1.609597373121118e+20,-1.8446744073709552e+19,0.7287912472549956,SDC,5,59,614
35192,matvec,25,Ap,-0.2421727283805741,0.9999847412109376,0.0001089294932944,Masked,4,57,549
12149,matvec,25,Ap,58256.9610751179,3.0,18.793604080088297,SDC,1,54,189
8884,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,53,138
31099,dot_r2,48,sum,-0.7853697373568738,1.0,0.0045166752326745,Masked,4,60,485
9078,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,55,141
31098,dot_r2,48,sum,-0.7853697373568738,1.0,0.0045166752326745,Masked,4,59,485
379,readA,167,A,5.463709796229356e+39,3.402823669209385e+38,4.527073888044233e+56,SDC,0,60,5
6900,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,53,107
50751,dot,57,sum,-0.0220188868161538,2.0,3.477474097e-07,Masked,6,64,792
40246,matvec,25,Ap,1.1799169591959857,-0.9375,0.0065706118311560004,Masked,5,55,628
50111,matvec,25,Ap,-0.099773285624516,2.0,3.477474097e-07,Masked,6,64,782
10877,waxpby,33,r,2.4828525093435984e+156,1.3407807929942597e+154,554.7686899927463,SDC,1,62,169
19962,matvec,25,Ap,2.5894473807707937e+22,1.8446744073709552e+19,67.93979609728821,SDC,2,59,311
17591,daxpby,40,y,-6559.19021266917,-255.0,60.1925952428435,SDC,2,56,274
39159,matvec,25,Ap,-1971.4761076669533,-255.0,0.7035519974755826,SDC,5,56,611
31352,dot_r2,48,sum,430351.5591577858,65535.0,483.8929996299746,SDC,4,57,489
23999,dot_r2,48,sum,-168.10582275153973,2.0,6.973480749192112,SDC,3,64,374
31732,daxpby,40,y,-0.2092316460654042,0.5,0.0016494451562884,Masked,4,53,495
32372,matvec,25,Ap,13.405780316942522,1.0,0.0131933939591981,Masked,4,53,505
500,readA,167,A,-3.2040314999999997,0.5,0.0005265257415314,Masked,0,53,7
17272,dot_r2,48,sum,248421556.0413764,65535.0,184879.22781674934,SDC,2,57,269
9461,waxpby,33,r,-151.981425,0.75,0.0206813229223274,Masked,0,54,147
19892,matvec,25,Ap,-707.1208739206331,0.5,0.0457227899481349,Masked,2,53,310
48573,matvec,25,Ap,0.2413863936476552,-1.0,3.477474097e-07,Masked,6,62,758
10039,dot_r2,48,sum,51576163.8547044,255.0,1005380621.4665098,SDC,0,56,156
43701,dot,57,sum,19.166995303070525,3.0,0.0322661339678243,Masked,5,54,682
45112,dot_r2,48,sum,-0.0001002114983697,0.9999847412114157,0.0041386169169174,Masked,6,57,704
12216,matvec,25,Ap,1400274314.751309,65535.00000000001,1447.313099731335,SDC,1,57,190
35767,matvec,25,Ap,-646.4563851466249,-255.00000000000003,3.7420103386770354,SDC,4,56,558
25973,matvec,25,Ap,-153.4391110176092,0.75,0.0153968902248539,Masked,3,54,405
22331,dot,57,sum,3.377627097372233e+43,3.402823669209385e+38,3.931390774750721,SDC,2,60,348
28031,matvec,25,Ap,-22.817451073501477,2.0,0.0042214341356499,Masked,3,64,437
20090,matvec,25,Ap,-5.291080191296284e+21,-1.8446744073709552e+19,133.72163765790577,SDC,2,59,313
38583,daxpby,40,y,0.1147792209784354,-0.99609375,0.0139891600224651,Masked,5,56,602
887,readA,167,A,2461.32783,255.0,19025371910.597,SDC,0,56,13
7670,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,55,119
38581,daxpby,40,y,0.0864220016778808,-0.7500000000000002,0.0428692852179815,Masked,5,54,602
23356,daxpby,40,y,3.932661430619468e+77,1.157920892373162e+77,3.932661430619468e+77,SDC,2,61,364
21946,matvec,25,Ap,-5.025744601176198e+21,-1.8446744073709552e+19,32.83830810384777,SDC,2,59,342
36985,daxpby,40,y,-0.9978525860170304,0.9999999997671694,3.477474097e-07,Masked,4,58,577
33466,matvec,25,Ap,-1.1781849334855382e+20,-1.8446744073709552e+19,7.890839485740032,SDC,4,59,522
12095,matvec,25,Ap,-10305.846825906601,2.0,0.0053730619500366,Masked,1,64,188
698,readA,167,A,2.6548498730650567e+20,1.8446744073709552e+19,3.6356465443474947e+37,SDC,0,59,10
50495,dot,57,sum,-0.012756428716093001,2.0,3.477474097e-07,Masked,6,64,788
38715,daxpby,40,y,-0.1255979339675716,1.0,0.0256887738241571,Masked,5,60,604
23994,dot_r2,48,sum,1.5505025447990172e+21,1.8446744073709552e+19,2895.315645473178,SDC,3,59,374
26103,matvec,25,Ap,-17415.944861494623,-255.0,12.477794315217848,SDC,3,56,407
50423,dot,57,sum,1.3712190920615586,255.0000000000012,3.477474097e-07,Masked,6,56,787
14261,matvec,25,Ap,-4793.866855952174,0.7499999999999999,0.031967485919203,Masked,1,54,222
25529,matvec,25,Ap,-1475788460315.586,-4294967294.9999995,12.175863525636592,SDC,3,58,398
31614,daxpby,40,y,-7.356585535698936e+307,-1.7976931348623157e+308,,DUE,4,63,493
23412,daxpby,40,y,2.8728011853319138,-0.5,0.0051622309834822,Masked,2,53,365
50874,solve_cg,91,alpha,-0.0182516478183245,1.0,3.477474097e-07,Masked,6,59,794
27893,matvec,25,Ap,126.6382182308648,-0.75,0.0266283004831653,Masked,3,54,435
9783,dot_r2,48,sum,-39055.23792741621,0.9960937499999999,0.5208554252964946,SDC,0,56,152
36341,dot,57,sum,107.4754860988818,3.0,0.0290405701739881,Masked,4,54,567
35510,matvec,25,Ap,224.3174393625101,15.0,57.976641872400634,SDC,4,55,554
12093,matvec,25,Ap,6.908940739858214e+157,1.3407807929942597e+154,1447.7741780604972,SDC,1,62,188
44089,daxpby,40,y,8590239292.286795,4294967295.0,3.477474097e-07,Masked,5,58,688
50364,dot,57,sum,-0.0051779849612795,1.0,3.477474097e-07,Masked,6,61,786
28471,matvec,25,Ap,11362.590531660215,255.0,19.958902787741888,SDC,3,56,444
23100,daxpby,40,y,-1.934540601186921,1.0,3.477474097e-07,Masked,2,61,360
15159,dot,57,sum,3193550220.194965,255.0,29.827637942313906,SDC,1,56,236
40758,matvec,25,Ap,1.5535236849628218,-0.9375000000000001,0.0176408132779042,Masked,5,55,636
8887,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,56,138
36027,matvec,25,Ap,-0.0480474297160924,1.0,1.280442321e-05,Masked,4,60,562
45245,dot_r2,48,sum,-0.0001450912639419,1.0,0.0067017664416181,Masked,6,62,706
41015,matvec,25,Ap,-2379.8588423002147,-254.99999999999997,0.4947899164913744,SDC,5,56,640
27448,matvec,25,Ap,21336328.967711788,65534.99999999999,8.5966278889071,SDC,3,57,428
21492,matvec,25,Ap,-961.7585399526303,-1.0,0.0704769324140193,SDC,2,53,335
6909,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,62,107
48127,matvec,25,Ap,0.4243176848842102,-2.0,3.477474097e-07,Masked,6,64,751
50294,dot,57,sum,0.005056840203907499,14.999999999999998,3.477474097e-07,Masked,6,55,785
27512,matvec,25,Ap,25804727.109912235,65535.0,8.596856696514925,SDC,3,57,429
38717,daxpby,40,y,-0.1255979339675716,1.0,0.0256887738241571,Masked,5,62,604
15675,solve_cg,91,alpha,-0.0075554145395853,1.0,30.228778864016718,SDC,1,60,244
9342,waxpby,33,r,-229.8237,1.0,0.0095318107461373,Masked,0,63,145
48763,matvec,25,Ap,0.0427923202157928,-1.0,3.477474097e-07,Masked,6,60,761
46206,matvec,25,Ap,-3.2145597009951e+307,-1.7976931348623157e+308,3.477474097e-07,Masked,6,63,721
50295,dot,57,sum,0.0859662834664272,254.99999999999915,3.477474097e-07,Masked,6,56,785
4664,waxpby,33,r,0.0,0,3.477474097e-07,Masked,0,57,72
50744,dot,57,sum,-0.0110092754173022,0.9999847412109337,3.477474097e-07,Masked,6,57,792
12668,matvec,25,Ap,7.078303172321941e+80,1.157920892373162e+77,1529.5816854023974,SDC,1,61,197
24379,solve_cg,83,rtrans,6.598465784398615e+40,3.402823669209385e+38,2895.31564547317,SDC,3,60,380
28090,matvec,25,Ap,2.2042720497051763e+20,1.8446744073709552e+19,76.12852560723475,SDC,3,59,438
51062,daxpby,40,y,-0.9374968960036636,0.9375,3.477474097e-07,Masked,6,55,797
5439,matvec,25,Ap,-0.0,0,3.477474097e-07,Masked,0,64,84
35446,matvec,25,Ap,73.20468502962517,15.0,0.3040216812123868,SDC,4,55,553
19519,matvec,25,Ap,2596.949430323672,-2.0,15.894456395985634,SDC,2,64,304
23231,daxpby,40,y,-4.011618409243406,2.0,3.477474097e-07,Masked,2,64,362
42811,matvec,25,Ap,0.8276552148809814,-1.0,0.0074655546216753,Masked,5,60,668
15476,dot,57,sum,36997689.02781776,1.0,5.560813178549049,SDC,1,53,241
3061,readA,167,A,10.278405000000001,3.0,0.0073827326833779,Masked,0,54,47
9402,waxpby,33,r,3.8886732631559714e+21,1.8446744073709552e+19,1496834024223257.8,SDC,0,59,146
28667,matvec,25,Ap,-1.5980627937745188e+40,-3.402823669209385e+38,1225.3111859429605,SDC,3,60,447
25780,matvec,25,Ap,46.81805453456661,1.0,0.0056406838599411,Masked,3,53,402
47861,matvec,25,Ap,-0.030218873572976094,0.75,3.477474097e-07,Masked,6,54,747
41910,matvec,25,Ap,1.4395957334591192,-0.9375,0.0098151927655861,Masked,5,55,654
45626,daxpby,40,y,0.0026651254462889,-1.0,3.477474097e-07,Masked,6,59,712
19700,matvec,25,Ap,230.0607205754364,-0.5,0.0019503611054431,Masked,2,53,307
13368,matvec,25,Ap,1380288491.0440354,65535.00000000001,2391.260649837684,SDC,1,57,208
35574,matvec,25,Ap,80.44898858099256,-0.9375,0.4163793853877841,SDC,4,55,555
37247,daxpby,40,y,-2.005033526984601,2.0,3.477474097e-07,Masked,4,64,581
47668,matvec,25,Ap,-0.0474729460778993,0.5,3.477474097e-07,Masked,6,53,744
25078,matvec,25,Ap,460.9854086083377,-0.9375,1.9806283754934904,SDC,3,55,391
5182,matvec,25,Ap,2.0,0,0.0001480458101207,Masked,0,63,80
18367,matvec,25,Ap,2270.463778905587,-2.0,7.097915578104511,SDC,2,64,286
49980,matvec,25,Ap,-0.0549314069586278,1.0,3.477474097e-07,Masked,6,61,780
3956,readA,167,A,3.426135,1.0,0.0022725910589357,Masked,0,53,61
5820,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,61,90
37118,daxpby,40,y,1.7948429265341908e+308,inf,3.477474097e-07,Masked,4,63,579
44668,daxpby,40,y,0.0053989513142351,-1.0,0.0010680625824904,Masked,5,61,697
37046,daxpby,40,y,30.037205612093477,15.0,3.477474097e-07,Masked,4,55,578
39092,solve_cg,87,normr,-0.16364467883323214,0.5000000000000001,3.477474097e-07,Masked,5,53,610
47224,matvec,25,Ap,0.0248364927250998,-0.9999847412109387,3.477474097e-07,Masked,6,57,737
6135,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,56,95
15287,dot,57,sum,6109382577.48858,255.0,30.01918933520723,SDC,1,56,238
22653,solve_cg,90,p_ap_dot,2.923601044226035e+159,1.3407807929942597e+154,3.931390774750721,SDC,2,62,353
21887,matvec,25,Ap,635.5997853895483,-2.0,0.0044825241845105,Masked,2,64,341
9723,waxpby,33,r,6.30133525934726e+40,3.402823669209385e+38,1.2285868009719989e+32,SDC,0,60,151
22646,solve_cg,90,p_ap_dot,3270781.912489574,15.000000000000002,3.3228163167992752,SDC,2,55,353
16376,daxpby,40,y,-1855859.1335275269,-65535.0,1857324.1542138252,SDC,1,57,255
38458,solve_cg,83,rtrans,-0.1071183236417268,1.0,0.014174999923796998,Masked,5,59,600
48437,matvec,25,Ap,-0.064604730966278,0.7499999999999997,3.477474097e-07,Masked,6,54,756
37053,daxpby,40,y,2.684887223994289e+154,1.3407807929942597e+154,3.477474097e-07,Masked,4,62,578
23289,daxpby,40,y,-26995509423.476643,-4294967295.0,26995509347.00382,SDC,2,58,363
45817,daxpby,40,y,0.0042356306758065,-0.9999999997671658,3.477474097e-07,Masked,6,58,715
27066,matvec,25,Ap,-2.5508938680294567e+21,-1.8446744073709552e+19,246.4185549863225,SDC,3,59,422
10999,matvec,25,Ap,-13233.600857330684,0.9960937499999999,0.0961740115094917,SDC,1,56,171
13373,matvec,25,Ap,2.8239327040251354e+158,1.3407807929942597e+154,2391.849245160225,SDC,1,62,208
35961,matvec,25,Ap,-19267934444.673332,-4294967295.0000005,9.009162962550509,SDC,4,58,561
51645,daxpby,40,y,-0.0003468350900732,1.0,3.477474097e-07,Masked,6,62,806
19003,matvec,25,Ap,9.762699869557645e+40,3.402823669209385e+38,289.77996506614386,SDC,2,60,296
27645,matvec,25,Ap,-1.577733261483665e+156,-1.3407807929942597e+154,76.12852560723475,SDC,3,62,431
16565,daxpby,40,y,-7.8444211458674,0.75,0.0390790599001119,Masked,1,54,258
24061,dot_r2,48,sum,1.1920700705891758e+156,1.3407807929942597e+154,3.477474097e-07,Masked,3,62,375
2879,readA,167,A,-8.978414,2.0,0.0038232563078863,Masked,0,64,44
25268,matvec,25,Ap,254.25759084548943,-0.5,0.1371241764663783,SDC,3,53,394
32319,matvec,25,Ap,7.229232621830643,-2.0,0.0034141534683565,Masked,4,64,504
45627,daxpby,40,y,0.0026651254462889,-1.0,3.477474097e-07,Masked,6,60,712
8118,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,55,126
25983,matvec,25,Ap,-409.1709627136245,2.0,0.7271354400406326,SDC,3,64,405
