File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,iter,bit,DI
0,readA,167,A,5.684341886080802e-14,8.472116335372492e-16,3.477474097e-07,Masked,0,1,0
1,readA,167,A,9.094947017729282e-13,1.3555386136595987e-14,3.477474094e-07,Masked,0,5,0
2,readA,167,A,-1.4551915228366852e-11,2.1688617818553579e-13,3.477474156e-07,Masked,0,9,0
3,readA,167,A,2.3283064365386963e-10,3.4701788509685726e-12,3.477473144e-07,Masked,0,13,0
4,readA,167,A,3.725290298461914e-09,5.552286161549716e-11,3.477458851e-07,Masked,0,17,0
5,readA,167,A,5.960464477539063e-08,8.883657858479546e-10,3.47723016e-07,Masked,0,21,0
6,readA,167,A,9.5367431640625e-07,1.4213852573567273e-08,3.4735711e-07,Masked,0,25,0
7,readA,167,A,1.52587890625e-05,2.2742164117707637e-07,3.415026328e-07,Masked,0,29,0
8,readA,167,A,-0.000244140625,3.638746258833222e-06,4.476692295e-07,Masked,0,33,0
9,readA,167,A,0.00390625,5.821994014133155e-05,1.2496224437e-06,Masked,0,37,0
10,readA,167,A,-0.0625,0.0009315190422613048,2.62602669535e-05,Masked,0,41,0
11,readA,167,A,-1.0,0.014904304676180877,0.0005004517843933,Masked,0,45,0
12,readA,167,A,16.0,0.23846887481889403,0.001385347260125,Masked,0,49,0
13,readA,167,A,-62.90129062500001,0.9375,0.0131302986058026,Masked,0,53,0
14,readA,167,A,1.237678944069761e+21,1.8446744073709552e+19,1.3335856118219862,SDC,0,57,0
15,readA,167,A,-67.09471,1.0,0.0291358324946321,Masked,0,61,0
16,readA,167,A,-7.105427357601002e-15,4.709464000186248e-16,3.477474097e-07,Masked,0,1,1
17,readA,167,A,1.1368683772161603e-13,7.535142400297996e-15,3.477474096e-07,Masked,0,5,1
18,readA,167,A,-1.8189894035458565e-12,1.2056227840476794e-13,3.477474108e-07,Masked,0,9,1
19,readA,167,A,2.9103830456733704e-11,1.928996454476287e-12,3.477473924e-07,Masked,0,13,1
20,readA,167,A,-4.656612873077393e-10,3.086394327162059e-11,3.47747687e-07,Masked,0,17,1
21,readA,167,A,7.450580596923828e-09,4.938230923459295e-10,3.477429738e-07,Masked,0,21,1
22,readA,167,A,1.1920928955078125e-07,7.901169477534872e-09,3.476765249e-07,Masked,0,25,1
23,readA,167,A,-1.9073486328125e-06,1.2641871164055795e-07,3.48907491e-07,Masked,0,29,1
24,readA,167,A,3.0517578125e-05,2.022699386248927e-06,3.358228646e-07,Masked,0,33,1
25,readA,167,A,-0.00048828125,3.2363190179982834e-05,2.2372951298e-06,Masked,0,37,1
26,readA,167,A,-0.0078125,0.0005178110428797253,0.0004079037261881,Masked,0,41,1
27,readA,167,A,0.125,0.008284976686075606,0.0410063005486451,Masked,0,45,1
28,readA,167,A,-2.0,0.1325596269772097,0.0043681387564838,Masked,0,49,1
29,readA,167,A,226.31325,15.0,19869.61821378597,SDC,0,53,1
30,readA,167,A,2.7831617354929655e+20,1.8446744073709552e+19,6.768141533249921e+35,SDC,0,57,1
31,readA,167,A,-15.08755,1.0,0.0361149453541472,Masked,0,61,1
32,readA,167,A,-7.105427357601002e-15,7.624492924028029e-16,3.477474097e-07,Masked,0,1,2
33,readA,167,A,1.1368683772161603e-13,1.2199188678444846e-14,3.477474097e-07,Masked,0,5,2
34,readA,167,A,1.8189894035458565e-12,1.9518701885511754e-13,3.477474095e-07,Masked,0,9,2
35,readA,167,A,-2.9103830456733704e-11,3.1229923016818807e-12,3.477474132e-07,Masked,0,13,2
36,readA,167,A,-4.656612873077393e-10,4.996787682691009e-11,3.477474659e-07,Masked,0,17,2
37,readA,167,A,-7.450580596923828e-09,7.994860292305614e-10,3.47748309e-07,Masked,0,21,2
38,readA,167,A,1.1920928955078125e-07,1.2791776467688983e-08,3.477330258e-07,Masked,0,25,2
39,readA,167,A,-1.9073486328125e-06,2.0466842348302373e-07,3.479786785e-07,Masked,0,29,2
40,readA,167,A,-3.0517578125e-05,3.2746947757283797e-06,3.517020788e-07,Masked,0,33,2
41,readA,167,A,-0.00048828125,5.2395116411654075e-05,4.761646971e-07,Masked,0,37,2
42,readA,167,A,0.0078125,0.0008383218625864652,1.70686691461e-05,Masked,0,41,2
43,readA,167,A,0.125,0.013413149801383443,0.0036325503678284,Masked,0,45,2
