File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,iter,bit,DI
48785,matvec,25,Ap,9.095016406668321e-13,1.8591225339124684e-11,3.477474097e-07,Masked,6,18,762
43991,daxpby,40,y,9.313225746154783e-10,9.313613484925928e-10,3.477474097e-07,Masked,5,24,687
43627,dot,57,sum,0.0078125,0.0016986733400280627,1.13232354382e-05,Masked,5,44,681
22543,dot,57,sum,9.5367431640625e-07,4.373607023895193e-12,3.477473477e-07,Masked,2,16,352
18905,matvec,25,Ap,2.384185791015625e-07,5.39255875211996e-09,3.477549567e-07,Masked,2,26,295
50514,dot,57,sum,-4.547005133526128e-13,5.708105418142102e-11,3.477474097e-07,Masked,6,19,789
1864,readA,167,A,-4.547473508864641e-13,4.1020373726102654e-14,3.477474094e-07,Masked,0,9,29
50944,daxpby,40,y,-2.220446049250313e-16,1.110225368422148e-16,3.477474097e-07,Masked,6,1,796
40282,matvec,25,Ap,5.960464477539063e-08,8.231380776041837e-09,3.475993946e-07,Masked,5,27,629
8880,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,49,138
3412,readA,167,A,9.313225746154783e-10,1.223454196085381e-10,3.477476359e-07,Masked,0,21,53
9961,dot_r2,48,sum,-64.0,0.0003605024805272399,0.005734720158096999,Masked,0,42,155
8814,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,47,137
7744,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,1,121
16681,daxpby,40,y,-0.015625,0.00047901837430212765,0.0130998956358432,Masked,1,42,260
19147,matvec,25,Ap,4.656612873077394e-10,-2.631735923988311e-13,3.477474226e-07,Masked,2,12,299
23578,daxpby,40,y,1.4901161193847656e-08,1.007318988849608e-08,3.47754633e-07,Masked,2,27,368
28995,matvec,25,Ap,5.684341886080803e-14,-9.230608944920017e-16,3.477474097e-07,Masked,3,4,453
41930,matvec,25,Ap,2.273736754432321e-13,-2.0936089882271223e-13,3.477474085e-07,Masked,5,11,655
23191,daxpby,40,y,3.725290298461914e-09,1.8572505749192165e-09,3.477474097e-07,Masked,2,24,362
43387,dot,57,sum,-1.803814428451499,1.0,0.0476655619387241,Masked,5,60,677
15792,daxpby,40,y,-0.0625,0.03599373439341162,3.477474097e-07,Masked,1,49,246
270,readA,167,A,-2.9103830456733704e-11,2.0694718035479096e-12,3.477473712e-07,Masked,0,15,4
28630,matvec,25,Ap,2.9802322387695312e-08,-6.345936368290622e-10,3.477467749e-07,Masked,3,23,447
17167,dot_r2,48,sum,-1.4901161193847656e-08,5.464937862229141e-12,3.4774735399999996e-07,Masked,2,16,268
15039,matvec,25,Ap,-40384.497420875,2.0,28.09916028613303,SDC,1,64,234
34655,matvec,25,Ap,-2.384185791015625e-07,3.063711381752044e-07,3.477466803e-07,Masked,4,32,541
9698,waxpby,33,r,-0.00048828125,2.636798275835999e-06,2.836791931e-07,Masked,0,35,151
41380,matvec,25,Ap,-1.9073486327847442e-06,-1.070452957493134e-05,3.359914953e-07,Masked,5,37,646
43220,dot,57,sum,1.1641532182693479e-10,1.4914570297179258e-10,3.477471514e-07,Masked,5,21,675
26246,matvec,25,Ap,-3.637978807091713e-12,-7.32477861000898e-15,3.477474096e-07,Masked,3,7,410
25095,matvec,25,Ap,-7.275957614183426e-12,-1.6849497209938838e-14,3.477474096e-07,Masked,3,8,392
9168,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,17,143
40090,matvec,25,Ap,7.450580596923828e-09,-7.963494131310275e-09,3.476636779e-07,Masked,5,27,626
6535,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,8,102
9785,dot_r2,48,sum,168398777320604.8,4294967294.9999995,2.462062852825079e+17,SDC,0,58,152
5256,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,9,82
28257,matvec,25,Ap,0.0001220703125,-1.611064520317464e-06,3.552073612e-07,Masked,3,34,441
36721,solve_cg,90,p_ap_dot,-32.0,0.08783662420491577,0.0036190359279914,Masked,4,50,573
14234,matvec,25,Ap,-6.103515625e-05,9.548944216225575e-09,3.479232112e-07,Masked,1,27,222
40427,matvec,25,Ap,-0.0078125,0.001035879765949771,2.02404486658e-05,Masked,5,44,631
50431,dot,57,sum,-0.0107546595455808,2.0,3.477474097e-07,Masked,6,64,787
18172,matvec,25,Ap,-1.6661827338405366e+80,-1.157920892373162e+77,128.98092626041998,SDC,2,61,283
40935,matvec,25,Ap,-0.0009765625,-0.00010299865644418939,4.5377497953e-06,Masked,5,40,639
40921,matvec,25,Ap,-5.960464477539063e-08,-6.286539089611169e-09,3.474488058e-07,Masked,5,26,639
16436,daxpby,40,y,-12.531832611345337,0.5,0.0078098824628493,Masked,1,53,256
31235,dot_r2,48,sum,-7.105427357601002e-15,1.1549633941986346e-15,3.477474096e-07,Masked,4,4,488
49475,matvec,25,Ap,-9.714451465470121e-17,2.3501830467124665e-15,3.477474097e-07,Masked,6,4,773
8371,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,52,130
51056,daxpby,40,y,-0.03125,0.03125010346688712,3.477474097e-07,Masked,6,49,797
35243,matvec,25,Ap,-0.0078125,-0.0017667691320364793,6.5347955012e-06,Masked,4,44,550
