File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,iter,bit,DI
12429,matvec,25,Ap,-2.9802322387695312e-08,9.416407572765996e-13,3.477473392e-07,Masked,1,14,194
17511,daxpby,40,y,-0.0009765625,8.708143038507156e-05,0.0001983134352596,Masked,2,40,273
19072,matvec,25,Ap,-3.552713678800501e-15,-1.239040050343016e-16,3.477474097e-07,Masked,2,1,298
19213,matvec,25,Ap,1.862645149230957e-09,-1.2380480263335483e-12,3.477474612e-07,Masked,2,14,300
29475,dot,57,sum,-0.0625,7.469728106137765e-06,4.375088461e-07,Masked,3,36,460
13108,matvec,25,Ap,-2648.756994204,0.5,0.0085159134734542,Masked,1,53,204
45467,solve_cg,83,rtrans,-3.638000003244185e-12,1.8104863366355542e-08,3.476190891e-07,Masked,6,28,710
32444,matvec,25,Ap,4.012789807063932e+78,1.157920892373162e+77,136.17209027981102,SDC,4,61,506
51113,daxpby,40,y,-0.00048828125,0.00024414140176148353,3.477474097e-07,Masked,6,42,798
21378,matvec,25,Ap,-2.273736754432321e-13,-5.268620259067286e-16,3.477474097e-07,Masked,2,3,334
33642,matvec,25,Ap,-0.00048828125,0.0007344850999094177,1.734965649e-07,Masked,4,43,525
24496,daxpby,40,y,0.25,-0.034112408684958066,0.0039874013309486,Masked,3,49,382
25099,matvec,25,Ap,1.1641532182693479e-10,-2.695919553590214e-13,3.477474113e-07,Masked,3,12,392
21921,matvec,25,Ap,0.00048828125,-1.7922118948569326e-06,3.450998244e-07,Masked,2,34,342
7895,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,24,123
22145,dot,57,sum,-7.275957614183426e-12,3.2147930664223666e-16,3.477474097e-07,Masked,2,2,346
25082,matvec,25,Ap,-9.070591844599924e+21,-1.8446744073709552e+19,12.175863549384667,SDC,3,59,391
3503,readA,167,A,2.0,0.03046078022242462,0.0027008384243090004,Masked,0,48,54
16814,dot_r2,48,sum,-8.0,0.015343301812574602,0.0088574796387495,Masked,2,47,262
7620,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,5,119
29803,daxpby,40,y,0.001953125,0.001950959128397269,3.477474097e-07,Masked,3,44,465
37103,daxpby,40,y,-0.015625,0.015649812480506564,3.477474097e-07,Masked,4,48,579
31037,dot_r2,48,sum,-0.5870383105269972,1.0,0.0425628214598005,Masked,4,62,484
39945,matvec,25,Ap,2.8421709430404014e-14,-6.822843536173563e-14,3.477474094e-07,Masked,5,10,624
28761,matvec,25,Ap,-4.76837158203125e-07,-4.4742838531938415e-09,3.477575664e-07,Masked,3,26,449
50671,dot,57,sum,-0.000244140625,0.02563046143668889,3.477474097e-07,Masked,6,48,791
20805,matvec,25,Ap,-1.8189894035458565e-12,-4.3169784605386165e-15,3.477474097e-07,Masked,2,6,325
9027,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,4,141
32972,matvec,25,Ap,-1.4551915228366852e-11,-5.733796239869914e-13,3.477474277e-07,Masked,4,13,515
7627,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,12,119
48748,matvec,25,Ap,-0.0001220703125,-0.002852621963109846,3.477474097e-07,Masked,6,45,761
38989,daxpby,40,y,-2.273181642920008e-13,1.3736128559854699e-12,3.477473371e-07,Masked,5,14,609
