File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,iter,bit,DI
43185,matvec,25,Ap,1.0,0.09246133945939075,0.0093609854120489,Masked,5,50,674
37288,daxpby,40,y,-0.000244140625,0.0001222340293346634,3.477474097e-07,Masked,4,41,582
27971,matvec,25,Ap,-1.4210854715202004e-14,1.2456128135806945e-15,3.477474097e-07,Masked,3,4,437
6300,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,29,98
8015,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,16,125
50907,daxpby,40,y,2.9802322387695312e-08,2.9802227407164493e-08,3.477474097e-07,Masked,6,28,795
22669,solve_cg,91,alpha,-2.8400892748692286e-14,1.6337151867021573e-12,3.477473865e-07,Masked,2,14,354
21542,matvec,25,Ap,0.03125,-3.598497765831526e-05,3.8652946531e-06,Masked,2,39,336
43571,dot,57,sum,-1.0,0.28069754870488006,0.0038296981579557,Masked,5,52,680
18520,matvec,25,Ap,-9.5367431640625e-07,-3.099184143366258e-09,3.477172365e-07,Masked,2,25,289
23644,daxpby,40,y,2.384185791015625e-07,4.528305683445213e-08,3.482456967e-07,Masked,2,29,369
1718,readA,167,A,144.182625,15.0,137.8701544098601,SDC,0,55,26
8574,matvec,25,Ap,2.0,0,0.0004210352164011,Masked,0,63,133
30714,daxpby,40,y,1.6990278946007562,-1.0,0.0118280721871005,Masked,3,59,479
1166,readA,167,A,2.3283064365386963e-10,3.440469515790602e-12,3.47747377e-07,Masked,0,15,18
4258,readB,175,b,-0.00048828125,2.3162653802986074e-06,4.327134258e-07,Masked,0,35,66
6397,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,62,99
17892,daxpby,40,y,0.00048828125,1.3991081802762584e-05,3.27096350471e-05,Masked,2,37,279
28632,matvec,25,Ap,-1.1920928955078125e-07,-2.538374547316249e-09,3.477499488e-07,Masked,3,25,447
5148,matvec,25,Ap,0.0,0,3.477474097e-07,Masked,0,29,80
27727,matvec,25,Ap,-9.313225746154785e-10,-4.811126322002906e-12,3.47747344e-07,Masked,3,16,433
24978,solve_cg,87,normr,-4.656612873077393e-10,3.344016197569113e-11,3.477474097e-07,Masked,3,19,390
51601,daxpby,40,y,7.100006346738574e-15,2.047084205130487e-11,3.477474097e-07,Masked,6,18,806
58,readA,167,A,1.237678944069761e+21,1.8446744073709552e+19,1.3335856118219862,SDC,0,59,0
28759,matvec,25,Ap,1.1920928955078125e-07,-1.1185709632984604e-09,3.477448706e-07,Masked,3,24,449
47613,matvec,25,Ap,-0.158107196290686,1.0,3.477474097e-07,Masked,6,62,743
12050,matvec,25,Ap,2.384185791015625e-07,4.6268605215872486e-11,3.477479736e-07,Masked,1,19,188
2955,readA,167,A,1.8189894035458565e-12,2.38955897672926e-13,3.477474112e-07,Masked,0,12,46
46491,matvec,25,Ap,1.8626451908643205e-09,-2.3839825959750633e-08,3.477474097e-07,Masked,6,28,726
21483,matvec,25,Ap,1.0,-0.0010397620176570027,0.0041045379012429,Masked,2,44,335
22690,solve_cg,91,alpha,-5.96046448031462e-08,3.428660298622883e-06,7.123666055e-07,Masked,2,35,354
26182,matvec,25,Ap,3.637978807091713e-12,-7.439058769669363e-15,3.477474097e-07,Masked,3,7,409
19211,matvec,25,Ap,-4.656612873077393e-10,-3.0951200658338707e-13,3.477473969e-07,Masked,2,12,300
43875,daxpby,40,y,7.62939453125e-06,7.628999120538698e-06,3.477474097e-07,Masked,5,36,685
45295,dot_r2,48,sum,3.814697265600009e-06,0.023342941600560357,0.0001342690597954,Masked,6,48,707
42429,matvec,25,Ap,-0.5922176210330838,1.0,0.0007879447874057,Masked,5,62,662
37574,daxpby,40,y,9.020562075079397e-16,1.1220433798231834e-14,3.477474097e-07,Masked,4,7,587
11999,matvec,25,Ap,0.00048828125,2.646069660319753e-07,3.489296793e-07,Masked,1,32,187
29163,dot,57,sum,-4.0,0.001588430142615301,1.51535502509e-05,Masked,3,44,455
17662,daxpby,40,y,-27.559404102936682,1.0,1.4636726448764894,SDC,2,63,275
42912,matvec,25,Ap,-2.98023224015731e-08,6.597378762617296e-07,3.475671534e-07,Masked,5,33,670
3009,readA,167,A,-8.881784197001252e-16,2.5923625884564537e-16,3.477474097e-07,Masked,0,2,47
19057,matvec,25,Ap,16.0,-0.08417958135486228,0.0053887192956198,Masked,2,50,297
14623,matvec,25,Ap,0.0009765625,3.406170858324663e-07,3.464659262e-07,Masked,1,32,228
27221,matvec,25,Ap,5.960464477539063e-08,-3.3433251504948443e-10,3.477383697e-07,Masked,3,22,425
38081,dot_r2,48,sum,0.0,0.0,3.477474097e-07,Masked,5,2,595
3113,readA,167,A,0.001953125,0.00039087891494314706,7.021159189e-07,Masked,0,42,48
45074,dot_r2,48,sum,-3.599998446048025e-15,3.592345761712823e-11,3.477472844e-07,Masked,6,19,704
42461,matvec,25,Ap,1.1920928955078125e-07,5.9622632618295e-08,3.481874051e-07,Masked,5,30,663
11352,matvec,25,Ap,-6.103515625e-05,2.1764514520740635e-09,3.478039299e-07,Masked,1,25,177
35544,matvec,25,Ap,-2.384185791015625e-07,-2.778374493579707e-09,3.475339793e-07,Masked,4,25,555
20802,matvec,25,Ap,2.2737367544323206e-13,-5.396223075673271e-16,3.477474097e-07,Masked,2,3,325
3938,readA,167,A,7.62939453125e-06,2.226822507358875e-06,3.480205622e-07,Masked,0,35,61
18541,matvec,25,Ap,2.0,-0.006499460224628835,0.0263645512197042,Masked,2,46,289
43101,matvec,25,Ap,-7.450580596923828e-09,9.350329756151137e-08,3.477023456e-07,Masked,5,30,673
15563,solve_cg,90,p_ap_dot,1.52587890625e-05,3.745693945021293e-13,3.477474044e-07,Masked,1,12,243
2152,readA,167,A,0.001953125,0.00017863496137140433,4.67241637715e-05,Masked,0,41,33
33130,matvec,25,Ap,0.000244140625,0.00054052619722591,1.892972665e-07,Masked,4,43,517
42196,matvec,25,Ap,1.1641532182693481e-10,-2.021898222360267e-10,3.477478394e-07,Masked,5,21,659
196,readA,167,A,-2.842170943040401e-14,2.072083268416629e-15,3.477474097e-07,Masked,0,5,3
