File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,bit
483409,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,5
35663,FFT1DOnce,867,omega_r,-6.6032955972273626e+302,-inf,7.879436540557194e+285,SDC,61
10476,FFT1DOnce,877,x1,0.03125,-0.17119274573797452,8.53e-14,Masked,49
517708,FFT1DOnce,871,tau_r,4.0,-0.17869865083404213,8.53e-14,Masked,49
188750,FFT1DOnce,875,x2,-5.4169864975052554e+19,-1.8446744073709552e+19,510.1303860049295,SDC,57
394635,TwiddleOneCol,709,tomega_r,-0.0078125,-0.008456166549486268,1.137e-13,Masked,45
395181,TwiddleOneCol,714,tx,-206.64579820174225,-15.0,2.84e-14,Masked,53
204142,FFT1DOnce,877,x1,-1.2815051651544436e+20,-1.8446744073709552e+19,127.94696235180453,SDC,57
109019,FFT1DOnce,868,omega_c,-0.0078125,-0.011048604331892236,8.53e-14,Masked,45
274015,Transpose,804,dest,-5.822955301529639,1.0,1.421e-13,Masked,61
41439,FFT1DOnce,868,omega_c,-2.0,0,0.9183974801915156,SDC,61
505483,FFT1DOnce,867,omega_r,0.015625,0.015625,5.68e-14,Masked,45
539918,CopyColumn,819,dest,-0.9662923380561246,1.0,0.9662923380560358,SDC,57
367243,FFT1DOnce,871,tau_r,0.0625,-0.011390337772063008,1.421e-13,Masked,45
385407,FFT1DOnce,878,x1,-7.3499150668687045,1.0,5.68e-14,Masked,61
238445,FFT1DOnce,873,x_r,0.7742147181097914,-0.9375,0.0,Masked,53
521534,FFT1DOnce,870,x_c,5.455784239562296e+20,1.8446744073709552e+19,208.77042697001812,SDC,57
275660,FFT1DOnce,871,tau_r,-1.0,-0.15089387031227974,2.274e-13,Masked,49
347950,FFT1DOnce,877,x1,-2.2468000289918294e+20,-1.8446744073709552e+19,510.1617579809271,SDC,57
152891,FFT1DOnce,878,x1,0.03125,-0.011646103185800267,1.421e-13,Masked,45
292862,FFT1DOnce,878,x1,-5.056860089719344e+19,-1.8446744073709552e+19,66.31202094536133,SDC,57
508491,FFT1DOnce,875,x2,-1.0,0.008076942023630336,0.0039062499999147,Masked,45
7883,Transpose,803,dest,-0.0078125,0.009849386599079362,0.0078124999999716,Masked,45
95983,TwiddleOneCol,711,tx_r,-4.355930048391059e+307,-inf,nan,DUE,61
410427,Transpose,804,dest,-0.25,0.010959854713080978,2.84e-14,Masked,45
159565,FFT1DOnce,875,x2,-1.3495498090981237,0.9375,1.137e-13,Masked,53
258411,CopyColumn,819,dest,0.0078125,-0.008675577042106853,1.137e-13,Masked,45
156782,FFT1DOnce,869,x_r,-6.816639462237245e+19,-1.8446744073709552e+19,383.94696235180453,SDC,57
191294,Reverse,833,x,-1.5697876392208405,1.0,1.137e-13,Masked,57
177886,FFT1DOnce,868,omega_c,0.3826774935589095,-1.0,5.116e-13,Masked,57
153677,FFT1DOnce,867,omega_r,-0.9375,0.9375,2.84e-14,Masked,53
514349,FFT1DOnce,873,x_r,-71.10842704971418,0.9375,1.1110691726517246,SDC,53
530255,Transpose,803,dest,7.161098792280258e+307,inf,7.161098792280258e+307,SDC,61
412651,FFT1DOnce,869,x_r,0.25,0.010539975739087059,1.705e-13,Masked,45
527403,Transpose,803,dest,0.00390625,0.012456372838704793,0.0039062500000853,Masked,45
62604,FFT1DOnce,871,tau_r,0.03125,-0.12915447159615673,1.137e-13,Masked,49
403531,Transpose,803,dest,1.0,0.009902935582980237,0.0625000000000568,SDC,45
213260,FFT1DOnce,871,tau_r,0.5,0.22267099315415004,1.137e-13,Masked,49
63005,FFT1DOnce,872,tau_c,-0.1805567410022631,0.9375000000000001,8.53e-14,Masked,53
238445,FFT1DOnce,873,x_r,0.7742147181097914,-0.9375,0.0,Masked,53
432862,Reverse,832,x,5.084713421090867e+20,1.8446744073709552e+19,499.580835800723,SDC,57
395246,TwiddleOneCol,711,tx_r,-0.5857360714254289,1.0,1.421e-13,Masked,57
402315,TwiddleOneCol,709,tomega_r,0.0009765625,0.009963529258381633,1.421e-13,Masked,45
