File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,bit,DI
134710,FFT1DOnce,878,x1,2.9802322387695312e-08,1.3507125687860461e-08,5.68e-14,Masked,25,8419
345947,TwiddleOneCol,715,tx,0.125,0.012784135894467797,8.53e-14,Masked,45,21621
125537,FFT1DOnce,869,x_r,3.497202527569243e-15,1.0424845413506221e-14,5.68e-14,Masked,5,7846
403876,Transpose,803,dest,-3.725290298461914e-09,3.479807415619577e-11,2.327454e-10,Masked,17,25242
102242,FFT1DOnce,877,x1,-4.547473508864641e-13,1.7384547161766834e-13,0.0,Masked,9,6390
329446,TwiddleOneCol,709,tomega_r,7.450580596923828e-09,7.532104636993268e-09,0.0,Masked,25,20590
104908,TwiddleOneCol,711,tx_r,0.125,-0.12606772927443136,2.84e-14,Masked,49,6556
481097,FFT1DOnce,875,x2,0.00390625,3.238679567553478e-05,1.52587891478e-05,Masked,37,30068
293734,FFT1DOnce,873,x_r,-5.960464477539063e-08,-9.634566621531201e-09,5.116e-13,Masked,25,18358
40013,TwiddleOneCol,711,tx_r,0.1448743140714964,-0.9375000000000002,2.84e-14,Masked,53,2500
136741,TwiddleOneCol,709,tomega_r,-4.656612873077393e-10,-7.568969883345687e-10,0.0,Masked,21,8546
415581,FFT1DOnce,872,tau_c,30.1603382862777,-0.9375,1.137e-13,Masked,53,25973
365236,FFT1DOnce,878,x1,-4.656612873077393e-10,-4.5990587567049717e-11,2.274e-13,Masked,17,22827
73582,FFT1DOnce,873,x_r,-0.9662627642756583,1.0,0.9662627642755979,SDC,57,4598
428607,FFT1DOnce,878,x1,51.24821108629173,-1.0,8.53e-14,Masked,61,26787
488264,FFT1DOnce,871,tau_r,0.000244140625,-3.424761254452591e-06,8.53e-14,Masked,33,30516
43810,FFT1DOnce,873,x_r,1.1368683772161603e-13,2.1266431689015663e-13,5.68e-14,Masked,9,2738
503465,Reverse,833,x,-0.00048828125,4.7287472151581514e-05,2.84e-14,Masked,37,31466
500737,FFT1DOnce,867,omega_r,0.0,-0.0,8.53e-14,Masked,5,31296
539238,CopyColumn,819,dest,3.725290298461914e-09,1.2644536814695422e-08,3.7253756e-09,Masked,25,33702
195661,FFT1DOnce,875,x2,-80.78561916470466,-14.999999999999998,5.4e-13,Masked,53,12228
313244,TwiddleOneCol,710,tomega_c,0.0,0,8.53e-14,Masked,49,19577
366146,FFT1DOnce,875,x2,-1.8189894035458565e-12,-1.2957212225654144e-13,1.705e-13,Masked,9,22884
81335,FFT1DOnce,878,x1,5.960464466436832e-08,2.0337163526705782e-07,5.960473e-08,Masked,29,5083
204446,Reverse,832,x,-0.6550350966181839,1.0,1.705e-13,Masked,57,12777
383290,FFT1DOnce,878,x1,-0.0009765625,-0.0008517350458903755,8.53e-14,Masked,41,23955
